PLAYER NAME,TEAM,STRD RK,PPR .5 RK,PPR Full Point RK,Super Flex Full PPR RK,STRD TIERS,Rookie,AGE,Cuff,Oline Pass Blk,Oline Run Blk,OLine Total,STRD POS RK,POS,BYE,Team Depth Chart,1st 5 games SoS by position,Full SoS by position,Playoff SoS by position,Boom Factor,QB WR/TE Boom,Prop Bet TDS,Prop Bet Pass Yds,Prop Bet Rush Yds,Prop Bet Rec Yds
Sam Darnold,MIN,178,186,182,119,10,,27,,GREAT,ELITE,GREAT,QB28,QB,6,-,easy,easy,easy,BOOM,BOOM,-,-,-,
Russell Wilson,PIT,201,192,196,122,10,,35,,BAD,OK,OK,QB29,QB,9,-,hard,hard,easy, ,,-,-,-,
Adam Thielen,CAR,170,155,153,161,10,,33,,GREAT,GOOD,GOOD,WR68,WR,11,WR2,easy,easy,average,BOOM,BOOM,-,,,-
Adonai Mitchell,IND,161,156,164,162,10,rookie,21,,GREAT,GREAT,GREAT,WR64,WR,14,WR3,average,easy,easy, ,,-,,,600.5
Ray Davis,BUF,163,157,171,163,10,rookie,24,,OK,GOOD,GOOD,RB52,RB,12,-,easy,hard,easy, ,,-,,-,
DeMario Douglas,NE,168,158,158,164,10,,23,,BAD,OK,BAD,WR67,WR,14,WR2,hard,average,easy, ,,-,,,-
Tyler Conklin,NYJ,165,160,156,166,10,,29,,OK,ELITE,GREAT,TE20,TE,12,-,hard,average,easy, ,,-,,,500.5
Michael Wilson,ARI,166,162,167,167,10,,24,,OK,OK,BAD,WR66,WR,11,WR2,easy,average,easy, ,,-,,,600.5
Darnell Mooney,ATL,164,163,169,169,10,,26,,OK,ELITE,ELITE,WR65,WR,12,WR2,average,easy,easy, ,,-,,,-
Cade Otton,TB,174,168,161,171,10,,25,,GOOD,BAD,GOOD,TE21,TE,11,-,easy,average,average, ,,-,,,-
Rashod Bateman,BAL,176,167,177,172,10,,24,,GOOD,OK,OK,WR70,WR,14,WR2,hard,average,average, ,,-,,,-
Ja'Lynn Polk,NE,171,166,166,173,10,rookie,22,,BAD,OK,BAD,WR69,WR,14,WR1,hard,average,easy, ,,-,,,-
Noah Fant,SEA,189,172,180,174,10,,26,,BAD,OK,OK,TE24,TE,10,-,hard,average,average, ,,-,,,-
Jaylen Wright,MIA,173,170,179,175,10,rookie,21,,OK,GOOD,OK,RB53,RB,6,-,easy,average,average, ,,-,,-,
Wan'Dale Robinson,NYG,193,171,173,176,10,,23,,OK,OK,BAD,WR73,WR (3rd Yr),11,WR2,average,average,easy, ,,-,,,-
Jermaine Burton,CIN,198,175,192,177,10,rookie,23,,GOOD,GOOD,GREAT,WR75,WR,12,WR3,average,hard,easy, ,,-,,,-
Xavier Legette,CAR,182,174,181,178,10,rookie,23,,GREAT,GOOD,GOOD,WR71,WR,11,WR3,easy,easy,average,BOOM,BOOM,4.5,,,500.5
Kendre Miller,NO,175,173,170,179,10,,22,,BAD,OK,BAD,RB54,RB,12,-,average,easy,easy, ,,-,,-,
Demarcus Robinson,LAR,194,176,190,180,10,,29,,GOOD,GOOD,GREAT,WR74,WR,6,WR3,easy,average,easy, ,,-,,,-
Roschon Johnson,CHI,181,178,175,181,10,,23,,OK,ELITE,GOOD,RB56,RB,7,-,easy,hard,average,BOOM,,-,,-,
Braelon Allen,NYJ,179,177,198,182,10,rookie,20,,OK,ELITE,GREAT,RB55,RB,12,-,average,hard,average, ,,-,,-,
Bucky Irving,TB,192,179,193,183,10,rookie,21,,GOOD,BAD,GOOD,RB59,RB,11,-,hard,easy,easy, ,,-,,-,
Marvin Mims Jr.,DEN,184,181,185,184,10,,22,,GREAT,GOOD,GOOD,WR72,WR,14,WR2,hard,hard,easy, ,,-,,,-
Isaiah Likely,BAL,187,189,204,188,10,,24,,GOOD,OK,OK,TE23,TE,14,-,easy,average,easy, ,,-,,,-
Ricky Pearsall,SF,199,183,199,189,10,rookie,23,,OK,GREAT,OK,WR76,WR,9,WR3,average,hard,easy, ,,-,,,-
Dameon Pierce,HOU,191,184,206,190,10,,24,,GOOD,OK,OK,RB58,RB,14,-,average,average,average, ,,-,,-,
Juwan Johnson,NO,180,185,189,191,10,,27,,BAD,OK,BAD,TE22,TE,12,-,hard,easy,easy, ,,4.5,,,425.5
Elijah Mitchell,SF,183,188,210,192,10,,26,,OK,GREAT,OK,RB57,RB,9,-,average,hard,easy, ,,-,,-,
Chigoziem Okonkwo,TEN,200,190,183,193,10,,24,,BAD,BAD,BAD,TE25,TE,5,-,average,easy,easy, ,,2.5,,,500.5
Baltimore Ravens,BAL,160,193,160,#N/A,10,,-,,GOOD,OK,OK,DST1,DST,14,-,average,hard,easy,,,-,,,
San Francisco 49ers,SF,167,197,168,#N/A,10,,-,,OK,GREAT,OK,DST2,DST,9,-,average,hard,easy,,,-,,,
New York Jets,NYJ,169,198,172,#N/A,10,,-,,OK,ELITE,GREAT,DST3,DST,12,-,hard,hard,easy,,,-,,,
Dallas Cowboys,DAL,172,200,174,#N/A,10,,-,,GOOD,GREAT,GOOD,DST4,DST,7,-,easy,easy,easy,,,-,,,
Cleveland Browns,CLE,177,202,176,#N/A,10,,-,,ELITE,GREAT,ELITE,DST5,DST,10,-,hard,hard,easy,,,-,,,
Pittsburgh Steelers,PIT,185,209,184,#N/A,10,,-,,BAD,OK,BAD,DST6,DST,9,-,average,easy,easy,,,-,,,
Kansas City Chiefs,KC,186,211,186,#N/A,10,,-,,ELITE,GREAT,ELITE,DST7,DST,6,-,easy,hard,average,,,-,,,
Justin Tucker,BAL,188,204,187,#N/A,10,,34,,GOOD,OK,OK,K1,K,14,-,average,hard,easy,,,-,,,
Buffalo Bills,BUF,190,212,188,#N/A,10,,-,,OK,GOOD,GOOD,DST8,DST,12,-,easy,hard,average,,,-,,,
Brandon Aubrey,DAL,195,206,191,#N/A,10,,29,,GOOD,GREAT,GOOD,K2,K,7,-,average,hard,easy,,,-,,,
Philadelphia Eagles,PHI,196,219,194,#N/A,10,,-,,ELITE,ELITE,ELITE,DST9,DST,5,-,easy,average,easy,,,-,,,
Harrison Butker,KC,197,213,195,#N/A,10,,29,,ELITE,GREAT,ELITE,K3,K,6,-,average,hard,easy,,,-,,,
Houston Texans,HOU,202,225,200,#N/A,10,,-,,GOOD,OK,OK,DST10,DST,14,-,hard,hard,easy,,,-,,,
New Orleans Saints,NO,203,230,201,#N/A,10,,-,,BAD,OK,BAD,DST11,DST,12,-,average,easy,easy,,,-,,,
Bo Nix,DEN,205,196,203,140,11,rookie,24,,GREAT,GOOD,GOOD,QB30,QB,14,-,average,hard,easy, ,,-,-,-,
Justin Fields,PIT,235,240,235,185,11,,25,,BAD,OK,OK,QB31,QB,9,-,hard,hard,easy, ,,-,-,-,
Ben Sinnott,WAS,213,182,207,186,11,rookie,22,,OK,GOOD,OK,TE26,TE,14,-,easy,hard,average, ,,-,,,-
Javon Baker,NE,217,187,214,187,11,rookie,22,,BAD,OK,BAD,WR79,WR,14,WR3,hard,average,easy, ,,-,,,-
Quentin Johnston,LAC,204,191,197,194,11,,22,,GREAT,OK,GOOD,WR77,WR,5,WR3,easy,average,easy,BOOM,BOOM,3.5,,,650.5
Darius Slayton,NYG,216,195,220,195,11,,27,,OK,OK,BAD,WR78,WR,11,WR3,average,average,easy, ,,-,,,-
Drake Maye,NE,241,246,243,196,11,rookie,21,,BAD,OK,BAD,QB32,QB,14,-,hard,average,easy, ,,-,-,-,
Audric Estime,DEN,219,194,226,197,11,rookie,20,,GREAT,GOOD,GOOD,RB61,RB,14,-,easy,easy,average, ,,-,,-,
Jalin Hyatt,NYG,220,201,217,199,11,,22,,OK,OK,BAD,WR81,WR,11,WR4,average,average,easy, ,,-,,,-
Tyler Boyd,TEN,229,199,213,200,11,,29,,BAD,BAD,BAD,WR84,WR,5,WR3,hard,easy,average, ,,-,,,-
Tank Bigsby,JAC,221,205,242,201,11,,22,,GREAT,BAD,OK,RB62,RB,12,-,average,hard,easy, ,,-,,-,
Alexander Mattison,LV,208,203,221,202,11,,26,,GREAT,GOOD,GOOD,RB60,RB,10,-,easy,average,easy, ,,-,,-,
Elijah Moore,CLE,223,207,216,203,11,,24,,ELITE,GREAT,ELITE,WR82,WR,10,WR3,average,average,easy, ,,-,,,-
Justice Hill,BAL,233,210,228,204,11,,26,,GOOD,OK,OK,RB67,RB,14,-,average,average,easy, ,,-,,-,
Roman Wilson,PIT,218,208,218,205,11,rookie,23,,BAD,OK,OK,WR80,WR,9,WR2,hard,hard,average, ,,-,,,-
Clyde Edwards-Helaire,KC,236,217,230,206,11,,25,,ELITE,GREAT,ELITE,RB69,RB,6,-,average,average,average, ,,-,,-,
D'Onta Foreman,CLE,226,215,247,207,11,,28,,ELITE,GREAT,ELITE,RB64,RB,10,-,hard,easy,easy, ,,-,,-,
Mike Gesicki,CIN,227,216,225,208,11,,28,,GOOD,GOOD,GREAT,TE28,TE,12,-,hard,average,easy, ,,-,,,-
AJ Dillon,GB,225,221,229,209,11,,26,,ELITE,OK,GREAT,RB63,RB,10,-,hard,hard,average, ,,-,,-,
Kenneth Gainwell,PHI,238,218,224,210,11,,25,,ELITE,ELITE,ELITE,RB70,RB,5,-,hard,easy,easy, ,,-,,-,
Malachi Corley,NYJ,243,227,240,211,11,rookie,22,,OK,ELITE,GREAT,WR86,WR,12,WR3,hard,easy,average, ,,-,,,-
Tucker Kraft,GB,224,222,223,212,11,,23,,ELITE,OK,GREAT,TE27,TE,10,-,average,average,average, ,,-,,,-
Kimani Vidal,LAC,230,223,231,213,11,rookie,22,,GREAT,OK,GOOD,RB65,RB,5,-,hard,easy,easy, ,,-,,-,
Jalen McMillan,TB,247,228,237,214,11,rookie,22,,GOOD,BAD,GOOD,WR88,WR,11,WR3,easy,average,easy, ,,-,,,-
Kendrick Bourne,NE,248,232,238,215,11,,29,,BAD,OK,BAD,WR89,WR,14,WR4,hard,average,easy, ,,-,,,-
DJ Chark Jr.,LAC,237,235,249,217,11,,27,,GREAT,OK,GOOD,WR85,WR,5,WR4,easy,average,easy,BOOM,BOOM,-,,,-
Troy Franklin,DEN,228,241,227,218,11,rookie,21,,GREAT,GOOD,GOOD,WR83,WR,14,WR3,hard,hard,easy, ,,-,,,-
Jamaal Williams,NO,240,244,250,219,11,,29,,BAD,OK,BAD,RB71,RB,12,-,average,easy,easy, ,,-,,-,
Miles Sanders,CAR,245,245,241,220,11,,27,,GREAT,GOOD,GOOD,RB72,RB,11,-,hard,easy,easy, ,,-,,-,
Keaton Mitchell,BAL,231,238,244,221,11,,22,,GOOD,OK,OK,RB66,RB,14,-,average,average,easy, ,,-,,-,
Odell Beckham Jr.,MIA,246,243,246,223,11,,31,,OK,GOOD,OK,WR87,WR,6,WR3,average,hard,easy, ,,-,,,-
Tyrone Tracy Jr.,NYG,234,234,234,224,11,rookie,24,,OK,OK,BAD,RB68,RB,11,-,easy,average,easy, ,,-,,-,
Michael Mayer,LV,244,253,239,227,11,,23,,GREAT,GOOD,GOOD,TE29,TE,10,-,easy,easy,easy,BOOM,,-,,,-
Jonnu Smith,MIA,249,252,248,231,11,,28,,OK,GOOD,OK,TE30,TE,6,-,hard,hard,easy, ,,-,,,-
Jason Sanders,MIA,206,214,202,#N/A,11,,28,,OK,GOOD,OK,K4,K,6,-,average,hard,easy,,,-,,,
Miami Dolphins,MIA,207,233,205,#N/A,11,,-,,OK,GOOD,OK,DST12,DST,6,-,easy,hard,average,,,-,,,
Ka'imi Fairbairn,HOU,209,226,209,#N/A,11,,30,,GOOD,OK,OK,K5,K,14,-,easy,hard,easy,,,-,,,
Jake Elliott,PHI,210,220,208,#N/A,11,,29,,ELITE,ELITE,ELITE,K6,K,5,-,easy,hard,average,,,-,,,
Jake Moody,SF,211,224,211,#N/A,11,,24,,OK,GREAT,OK,K7,K,9,-,hard,hard,easy,,,-,,,
Tyler Bass,BUF,212,231,212,#N/A,11,,27,,OK,GOOD,GOOD,K8,K,12,-,easy,easy,easy,,,-,,,
Younghoe Koo,ATL,214,229,215,#N/A,11,,30,,OK,ELITE,ELITE,K9,K,12,-,hard,hard,average,,,-,,,
Chicago Bears,CHI,215,237,219,#N/A,11,,-,,OK,ELITE,GOOD,DST13,DST,7,-,average,average,easy,,,-,,,
Evan McPherson,CIN,222,242,222,#N/A,11,,25,,GOOD,GOOD,GREAT,K10,K,12,-,easy,hard,easy,,,-,,,
Matt Gay,IND,232,248,232,#N/A,11,,30,,GREAT,GREAT,GREAT,K11,K,14,-,easy,easy,easy,,,-,,,
Indianapolis Colts,IND,239,254,236,#N/A,11,,-,,GREAT,GREAT,GREAT,DST14,DST,14,-,average,easy,easy,,,-,,,
Cameron Dicker,LAC,242,255,245,#N/A,11,,24,,GREAT,OK,GOOD,K12,K,5,-,easy,average,easy,,,-,,,
Dustin Hopkins,CLE,250,261,251,#N/A,11,,33,,ELITE,GREAT,ELITE,K13,K,10,-,easy,hard,average,,,-,,,
Gardner Minshew II,LV,259,249,255,198,12,,28,,GREAT,GOOD,GOOD,QB33,QB,10,-,average,hard,average, ,,-,-,-,
Zay Jones,ARI,253,236,233,216,12,,29,,OK,OK,BAD,WR91,WR,11,WR3,easy,average,easy, ,,-,,,-
Andrei Iosivas,CIN,252,239,252,222,12,,24,,GOOD,GOOD,GREAT,WR90,WR,12,WR4,average,hard,easy, ,,-,,,-
Trey Sermon,IND,261,250,270,225,12,,25,,GREAT,GREAT,GREAT,RB75,RB,14,-,hard,hard,easy, ,,-,,-,
Jordan Mason,SF,254,247,269,226,12,,25,,OK,GREAT,OK,RB74,RB,9,-,average,hard,easy, ,,-,,-,
Will Shipley,PHI,251,251,263,228,12,rookie,21,,ELITE,ELITE,ELITE,RB73,RB,5,-,hard,easy,easy, ,,-,,-,
Samaje Perine,DEN,275,257,261,229,12,,28,,GREAT,GOOD,GOOD,RB77,RB,14,-,easy,easy,average, ,,-,,-,
Dylan Laube,LV,272,256,267,230,12,rookie,24,,GREAT,GOOD,GOOD,RB76,RB,10,-,easy,average,easy, ,,-,,-,
Treylon Burks,TEN,260,259,258,232,12,,24,,BAD,BAD,BAD,WR92,WR (3rd Yr),5,WR4,hard,easy,average, ,,-,,,-
Jonathan Mingo,CAR,266,260,259,233,12,,23,,GREAT,GOOD,GOOD,WR94,WR,11,WR4,easy,easy,average,BOOM,BOOM,-,,,-
Josh Reynolds,DEN,267,258,268,234,12,,29,,GREAT,GOOD,GOOD,WR95,WR,14,WR4,hard,hard,easy, ,,-,,,-
A.T. Perry,NO,263,262,266,235,12,,24,,BAD,OK,BAD,WR93,WR,12,WR3,average,average,easy, ,,-,,,-
Dawson Knox,BUF,258,264,264,236,12,,27,,OK,GOOD,GOOD,TE31,TE,12,-,average,hard,easy, ,,-,,,-
Ja'Tavion Sanders,CAR,262,266,257,237,12,rookie,21,,GREAT,GOOD,GOOD,TE32,TE,11,-,average,average,easy, ,,-,,,-
Eric Gray,NYG,283,270,284,238,12,,24,,OK,OK,BAD,RB78,RB,11,-,easy,average,easy, ,,-,,-,
Zach Ertz,WAS,265,265,260,239,12,,33,,OK,GOOD,OK,TE33,TE,14,-,easy,hard,average, ,,-,,,-
Alec Pierce,IND,271,271,275,240,12,,24,,GREAT,GREAT,GREAT,WR96,WR (3rd Yr),14,WR4,average,easy,easy, ,,-,,,-
Luke McCaffrey,WAS,273,269,272,241,12,rookie,23,,OK,GOOD,OK,WR97,WR,14,WR3,easy,average,easy, ,,-,,,-
Gerald Everett,CHI,268,272,262,242,12,,30,,OK,ELITE,GOOD,TE34,TE,7,-,easy,average,average, ,,-,,,-
K.J. Osborn,NE,280,273,277,243,12,,27,,BAD,OK,BAD,WR101,WR,14,WR5,hard,average,easy, ,,-,,,-
Evan Hull,IND,285,279,285,244,12,,23,,GREAT,GREAT,GREAT,RB79,RB,14,-,hard,hard,easy, ,,-,,-,
Devontez Walker,BAL,277,278,281,245,12,rookie,23,,GOOD,OK,OK,WR98,WR,14,WR3,hard,average,average, ,,-,,,-
Cedric Tillman,CLE,282,283,279,246,12,,24,,ELITE,GREAT,ELITE,WR102,WR,10,WR4,average,average,easy, ,,-,,,-
Greg Dortch,ARI,278,274,271,247,12,,26,,OK,OK,BAD,WR99,WR,11,WR4,easy,average,easy, ,,-,,,-
Jelani Woods,IND,269,281,274,248,12,,25,,GREAT,GREAT,GREAT,TE35,TE,14,-,average,average,easy, ,,-,,,-
Trey Palmer,TB,284,284,283,249,12,,23,,GOOD,BAD,GOOD,WR103,WR,11,WR4,easy,average,easy, ,,-,,,-
Cordarrelle Patterson,PIT,293,285,289,250,12,,33,,BAD,OK,OK,RB81,RB,9,-,hard,easy,easy, ,,-,,-,
Jalen Tolbert,DAL,279,280,280,251,12,,25,,GOOD,GREAT,GOOD,WR100,WR (3rd Yr),7,WR3,hard,average,easy, ,,-,,,-
D'Ernest Johnson,JAC,294,288,294,252,12,,28,,GREAT,BAD,OK,RB82,RB,12,-,average,hard,easy, ,,-,,-,
Deuce Vaughn,DAL,290,291,287,253,12,,22,,GOOD,GREAT,GOOD,RB80,RB,7,-,easy,average,easy,BOOM,,-,,-,
Greg Dulcich,DEN,281,286,282,254,12,,24,,GREAT,GOOD,GOOD,TE36,TE,14,-,average,hard,easy, ,,-,,,-
Noah Brown,HOU,286,290,286,255,12,,28,,GOOD,OK,OK,WR104,WR,14,WR4,hard,average,average, ,,-,,,-
Michael Carter,ARI,301,292,292,256,12,,25,,OK,OK,BAD,RB86,RB,11,-,average,hard,average, ,,-,,-,
Jeff Wilson Jr.,MIA,299,301,303,259,12,,28,,OK,GOOD,OK,RB84,RB,6,-,easy,average,average, ,,-,,-,
Pierre Strong Jr.,CLE,300,300,307,260,12,,25,,ELITE,GREAT,ELITE,RB85,RB,10,-,hard,easy,easy, ,,-,,-,
Kadarius Toney,KC,292,299,296,261,12,,25,,ELITE,GREAT,ELITE,WR105,WR,6,WR4,average,average,average, ,,-,,,-
Aidan O'Connell,LV,288,293,288,263,12,,25,,GREAT,GOOD,GOOD,QB34,QB,10,-,average,hard,average, ,,-,-,-,
Isaac Guerendo,SF,298,304,306,265,12,rookie,24,,OK,GREAT,OK,RB83,RB,9,-,average,hard,easy, ,,-,,-,
Colby Parkinson,LAR,287,295,290,266,12,,25,,GOOD,GOOD,GREAT,TE37,TE,6,-,easy,average,easy, ,,-,,,-
Jacoby Brissett,NE,289,294,293,268,12,,31,,BAD,OK,BAD,QB35,QB,14,-,hard,average,easy, ,,-,-,-,
Tyler Higbee,LAR,296,305,291,270,12,,31,,GOOD,GOOD,GREAT,TE38,TE,6,-,easy,average,easy, ,,-,,,-
Detroit Lions,DET,255,267,256,#N/A,12,,-,,ELITE,ELITE,ELITE,DST15,DST,5,-,hard,hard,average,,,-,,,
Cairo Santos,CHI,256,263,253,#N/A,12,,32,,OK,ELITE,GOOD,K14,K,7,-,average,easy,average,,,-,,,
Jason Myers,SEA,257,268,254,#N/A,12,,33,,BAD,OK,OK,K15,K,10,-,hard,easy,easy,,,-,,,
Minnesota Vikings,MIN,264,282,265,#N/A,12,,-,,GREAT,ELITE,GREAT,DST16,DST,6,-,hard,average,easy,,,-,,,
Jacksonville Jaguars,JAC,270,275,273,#N/A,12,,-,,GREAT,BAD,OK,DST17,DST,12,-,hard,easy,average,,,-,,,
Daniel Carlson,LV,274,276,276,#N/A,12,,29,,GREAT,GOOD,GOOD,K16,K,10,-,hard,hard,average,,,-,,,
Cincinnati Bengals,CIN,276,277,278,#N/A,12,,-,,GOOD,GOOD,GREAT,DST18,DST,12,-,easy,easy,average,,,-,,,
Blake Grupe,NO,291,289,295,#N/A,12,,25,,BAD,OK,BAD,K17,K,12,-,easy,easy,average,,,-,,,
Greg Zuerlein,NYJ,295,287,298,#N/A,12,,36,,OK,ELITE,GREAT,K18,K,12,-,hard,easy,average,,,-,,,
Green Bay Packers,GB,297,296,297,#N/A,12,,-,,ELITE,OK,GREAT,DST19,DST,10,-,average,hard,easy,,,-,,,
Denver Broncos,DEN,302,307,302,#N/A,12,,-,,GREAT,GOOD,GOOD,DST20,DST,14,-,easy,average,average,,,-,,,
Chris Rodriguez Jr.,WAS,303,297,301,257,13,,23,,OK,GOOD,OK,RB87,RB,14,-,easy,average,easy,,,-,,-,
Emari Demercado,ARI,310,298,300,258,13,,25,,OK,OK,BAD,RB91,RB,11,-,average,hard,average, ,,-,,-,
Chase Edmonds,TB,309,303,305,262,13,,28,,GOOD,BAD,GOOD,RB90,RB,11,-,hard,easy,easy, ,,-,,-,
Brenden Rice,LAC,305,302,304,264,13,rookie,22,,GREAT,OK,GOOD,WR106,WR,5,WR5,easy,average,easy,BOOM,BOOM,-,,,-
Israel Abanikanda,NYJ,306,306,308,267,13,,21,,OK,ELITE,GREAT,RB88,RB,12,-,average,hard,average, ,,-,,-,
Cam Akers,HOU,315,308,316,269,13,,25,,GOOD,OK,OK,RB92,RB,14,-,average,average,average, ,,-,,-,
Jacob Cowing,SF,307,310,311,271,13,rookie,23,,OK,GREAT,OK,WR107,WR,9,WR4,average,hard,easy, ,,-,,,-
Tyler Scott,CHI,314,312,312,272,13,,22,,OK,ELITE,GOOD,WR109,WR,7,WR4,easy,easy,easy, ,,-,,,-
Theo Johnson,NYG,304,309,299,273,13,rookie,23,,OK,OK,BAD,TE39,TE,11,-,average,easy,easy, ,,-,,,-
Deneric Prince,KC,308,311,314,274,13,,24,,ELITE,GREAT,ELITE,RB89,RB,6,-,average,average,average, ,,-,,-,
Robert Woods,HOU,316,313,309,275,13,,32,,GOOD,OK,OK,WR110,WR,14,WR5,hard,average,average, ,,-,,,-
Ronnie Rivers,LAR,318,314,319,276,13,,25,,GOOD,GOOD,GREAT,RB93,RB,6,-,easy,average,average, ,,-,,-,
Isaiah Spiller,LAC,321,317,320,277,13,,23,,GREAT,OK,GOOD,RB95,RB,5,-,hard,easy,easy, ,,-,,-,
Tutu Atwell,LAR,312,315,313,278,13,,24,,GOOD,GOOD,GREAT,WR108,WR,6,WR4,easy,average,easy, ,,-,,,-
Daniel Bellinger,NYG,317,319,315,279,13,,23,,OK,OK,BAD,TE40,TE,11,-,average,easy,easy, ,,-,,,-
Rasheen Ali,BAL,322,322,324,280,13,rookie,23,,GOOD,OK,OK,RB96,RB,14,-,average,average,easy, ,,-,,-,
Royce Freeman,DAL,319,321,321,281,13,,28,,GOOD,GREAT,GOOD,RB94,RB,7,-,easy,average,easy,BOOM,,-,,-,
Hayden Hurst,LAC,320,318,318,282,13,,30,,GREAT,OK,GOOD,TE41,TE,5,-,hard,average,average, ,,-,,,-
Kareem Hunt,FA,326,326,326,283,13,,29,,-,-,-,RB97,RB,-,-,-,-,-,-,,-,,-,
Tim Patrick,DEN,325,324,325,284,13,,30,,GREAT,GOOD,GOOD,WR112,WR,14,WR5,hard,hard,easy, ,,-,,,-
Kalif Raymond,DET,324,325,322,285,13,,30,,ELITE,ELITE,ELITE,WR111,WR,5,WR3,hard,easy,average, ,,-,,,-
Salvon Ahmed,MIA,339,330,327,286,13,,-,,OK,GOOD,OK,RB100,RB,6,-,easy,average,average, ,,-,,-,
Jerick McKinnon,FA,334,334,328,287,13,,32,,-,-,-,RB98,RB,-,-,-,-,-,-,,-,,-,
Ty Johnson,BUF,336,329,332,288,13,,26,,OK,GOOD,GOOD,RB99,RB,12,-,easy,hard,easy, ,,-,,-,
Van Jefferson,PIT,327,327,329,289,13,,28,,BAD,OK,OK,WR113,WR,9,WR4,hard,hard,average, ,,-,,,-
Nelson Agholor,BAL,330,328,330,290,13,,31,,GOOD,OK,OK,WR116,WR,14,WR4,hard,average,average, ,,-,,,-
Calvin Austin III,PIT,337,331,333,291,13,,25,,BAD,OK,OK,WR120,WR (3rd Yr),9,WR3,hard,hard,average, ,,-,,,-
Marquez Valdes-Scantling,BUF,329,333,338,292,13,,29,,OK,GOOD,GOOD,WR115,WR,12,WR4,average,hard,average, ,,-,,,-
Jauan Jennings,SF,335,332,336,293,13,,27,,OK,GREAT,OK,WR119,WR,9,WR5,average,hard,easy, ,,-,,,-
