RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP
357,Raheem Blackshear (CAR),RB132,0,0,0,555,+ 198
358,Roman Wilson (PIT),WR87,0,0,0,231,-127
359,Luke McCaffrey (WAS),WR88,0,0,0,253,-106
360,Myles Gaskin (FA),RB133,0,0,0,596,+ 236
361,Noah Gray (KC),TE44,0,0,0,291,-70
362,DeeJay Dallas (ARI),RB134,0,0,0,587,+ 225
363,Chris Brooks (FA),RB135,0,0,0,616,+ 253
364,La'Mical Perine (FA),RB136,0,0,0,749,+ 385
365,Michael Burton (FA),RB137,0,0,0,565,+ 200
366,Reggie Gilliam (BUF),RB138,0,0,0,663,+ 297
367,Kene Nwangwu (FA),RB139,0,0,0,472,+ 105
368,Avery Williams (ATL),RB140,0,0,0,899,+ 531
369,Darrynton Evans (BUF),RB141,0,0,0,627,+ 258
370,Travis Homer (CHI),RB142,0,0,0,543,+ 173
371,Greg Dortch (ARI),WR89,0,0,0,300,-71
372,Will Dissly (LAC),TE45,0,0,0,581,+ 209
373,Adam Prentice (NO),RB143,0,0,0,776,+ 403
374,Sione Vaki (DET),RB144,0,0,0,483,+ 109
375,Malik Davis (FA),RB145,0,0,0,552,+ 177
376,Keaontay Ingram (FA),RB146,0,0,0,379,+ 3
377,Tre Tucker (LV),WR90,0,0,0,318,-59
378,Keilan Robinson (JAC),RB147,0,0,0,859,+ 481
379,Jake Funk (FA),RB148,0,0,0,484,+ 105
380,Elijah Dotson (FA),RB149,0,0,0,851,+ 471
381,Snoop Conner (FA),RB150,0,0,0,560,+ 179
382,J.J. Taylor (FA),RB151,0,0,0,314,-68
383,Jermar Jefferson (FA),RB152,0,0,0,326,-57
384,Patrick Ricard (BAL),RB153,0,0,0,488,+ 104
385,Zonovan Knight (FA),RB154,0,0,0,,
386,Elijah Moore (CLE),WR91,0,0,0,327,-59
387,Hassan Haskins (FA),RB155,0,0,0,,
388,Zach Evans (LAR),RB156,0,0,0,602,+ 214
389,Spencer Brown (FA),RB157,0,0,0,758,+ 369
390,Khari Blasingame (FA),RB158,0,0,0,,
391,Patrick Taylor Jr. (SF),RB159,0,0,0,573,+ 182
392,John Kelly Jr. (BAL),RB160,0,0,0,867,+ 475
393,C.J. Ham (MIN),RB161,0,0,0,451,+ 58
394,Jashaun Corbin (FA),RB162,0,0,0,440,+ 46
395,Andrei Iosivas (CIN),WR92,0,0,0,329,-66
396,Malachi Corley (NYJ),WR93,0,0,0,279,-117
397,Mike Boone (FA),RB163,0,0,0,712,+ 315
398,Tyrion Davis-Price (PHI),RB164,0,0,0,637,+ 239
399,Brandon Bolden (FA),RB165,0,0,0,642,+ 243
400,Drake Maye (NE),QB31,0,0,0,237,-163
401,Robert Tonyan (FA),TE46,0,0,0,705,+ 304
402,Ray-Ray McCloud III (ATL),WR94,0,0,0,541,+ 139
403,Mo Alie-Cox (IND),TE47,0,0,0,366,-37
404,Dyami Brown (WAS),WR95,0,0,0,308,-96
405,Durham Smythe (MIA),TE48,0,0,0,320,-85
406,Jonathan Mingo (CAR),WR96,0,0,0,375,-31
407,Adam Trautman (DEN),TE49,0,0,0,406,-1
408,Jahan Dotson (PHI),WR97,0,0,0,223,-185
409,Tanner Hudson (CIN),TE50,0,0,0,442,+ 33
410,Austin Hooper (NE),TE51,0,0,0,432,+ 22
411,Donald Parham Jr. (FA),TE52,0,0,0,584,+ 173
412,Brock Wright (DET),TE53,0,0,0,343,-69
413,Jaheim Bell (NE),TE54,0,0,0,623,+ 210
414,Brevin Jordan (HOU),TE55,0,0,0,351,-63
415,Josh Oliver (MIN),TE56,0,0,0,359,-56
416,Elijah Higgins (ARI),TE57,0,0,0,371,-45
417,Jeremy Ruckert (NYJ),TE58,0,0,0,603,+ 186
418,Darnell Washington (PIT),TE59,0,0,0,328,-90
419,Olamide Zaccheaus (WAS),WR98,0,0,0,658,+ 239
420,Trey Palmer (TB),WR99,0,0,0,508,+ 88
421,Logan Thomas (SF),TE60,0,0,0,691,+ 270
422,Cedrick Wilson Jr. (NO),WR100,0,0,0,649,+ 227
423,Treylon Burks (TEN),WR101,0,0,0,481,+ 58
424,Luke Schoonmaker (DAL),TE61,0,0,0,355,-69
425,Stephen Sullivan (FA),TE62,0,0,0,,
426,Johnny Mundt (MIN),TE63,0,0,0,538,+ 112
427,Connor Heyward (PIT),TE64,0,0,0,342,-85
428,Foster Moreau (NO),TE65,0,0,0,655,+ 227
429,Josh Whyle (TEN),TE66,0,0,0,682,+ 253
430,Will Mallory (IND),TE67,0,0,0,506,+ 76
431,Parker Washington (JAC),WR102,0,0,0,557,+ 126
432,Devin Culp (TB),TE68,0,0,0,672,+ 240
433,Tanner McLachlan (CIN),TE69,0,0,0,856,+ 423
434,Pharaoh Brown (SEA),TE70,0,0,0,512,+ 78
435,Ian Thomas (CAR),TE71,0,0,0,708,+ 273
436,AJ Barner (SEA),TE72,0,0,0,529,+ 93
437,Gardner Minshew II (LV),QB32,0,0,0,256,-181
438,John FitzPatrick (FA),TE73,0,0,0,669,+ 231
439,Cameron Latu (SF),TE74,0,0,0,598,+ 159
440,Brayden Willis (SF),TE75,0,0,0,618,+ 178
441,Davis Allen (LAR),TE76,0,0,0,436,-5
442,Cedric Tillman (CLE),WR103,0,0,0,681,+ 239
443,Peyton Hendershot (KC),TE77,0,0,0,542,+ 99
444,JuJu Smith-Schuster (KC),WR104,0,0,0,307,-137
445,Travis Vokolek (ARI),TE78,0,0,0,832,+ 387
446,Alec Pierce (IND),WR105,0,0,0,380,-66
447,Troy Franklin (DEN),WR106,0,0,0,221,-226
448,Jordan Akins (CLE),TE79,0,0,0,580,+ 132
449,Calvin Austin III (PIT),WR107,0,0,0,459,+ 10
450,Tip Reiman (ARI),TE80,0,0,0,861,+ 411
451,Brenton Strange (JAC),TE81,0,0,0,599,+ 148
452,Jack Stoll (FA),TE82,0,0,0,668,+ 216
453,Cade Stover (HOU),TE83,0,0,0,335,-118
454,Erick All Jr. (CIN),TE84,0,0,0,957,+ 503
455,Kalif Raymond (DET),WR108,0,0,0,447,-8
456,Lucas Krull (DEN),TE85,0,0,0,590,+ 134
457,Devontez Walker (BAL),WR109,0,0,0,289,-168
458,Drew Ogletree (IND),TE86,0,0,0,609,+ 151
459,Stone Smartt (LAC),TE87,0,0,0,921,+ 462
460,Irv Smith Jr. (FA),TE88,0,0,0,434,-26
461,KaVontae Turpin (DAL),WR110,0,0,0,461,-
462,A.T. Perry (NO),WR111,0,0,0,325,-137
463,Jared Wiley (KC),TE89,0,0,0,383,-80
464,Nelson Agholor (BAL),WR112,0,0,0,468,+ 4
465,Drew Sample (CIN),TE90,0,0,0,482,+ 17
466,Jalen Nailor (MIN),WR113,0,0,0,498,+ 32
467,Teagan Quitoriano (FA),TE91,0,0,0,,
468,Payne Durham (TB),TE92,0,0,0,831,+ 363
469,Dallin Holker (NO),TE93,0,0,0,,
470,Van Jefferson (PIT),WR114,0,0,0,435,-35
471,Quintin Morris (BUF),TE94,0,0,0,775,+ 304
472,Zay Jones (ARI),WR115,0,0,0,330,-142
473,MyCole Pruitt (PIT),TE95,0,0,0,419,-54
474,James Mitchell (FA),TE96,0,0,0,624,+ 150
475,Ben Sims (GB),TE97,0,0,0,940,+ 465
476,Eric Saubert (SF),TE98,0,0,0,564,+ 88
477,Harrison Bryant (LV),TE99,0,0,0,661,+ 184
478,Armani Rogers (PHI),TE100,0,0,0,415,-63
479,Ross Dwelley (ATL),TE101,0,0,0,,
480,Grant Calcaterra (PHI),TE102,0,0,0,477,-3
481,Luke Farrell (JAC),TE103,0,0,0,767,+ 286
482,John Bates (WAS),TE104,0,0,0,667,+ 185
483,Nick Vannett (TEN),TE105,0,0,0,863,+ 380
484,Cole Turner (WAS),TE106,0,0,0,,
485,Jauan Jennings (SF),WR116,0,0,0,305,-180
486,Charlie Woerner (ATL),TE107,0,0,0,640,+ 154
487,Albert Okwuegbunam Jr. (PHI),TE108,0,0,0,473,-14
488,Cole Fotheringham (LV),TE109,0,0,0,917,+ 429
489,Charlie Kolar (BAL),TE110,0,0,0,639,+ 150
490,Xavier Gipson (NYJ),WR117,0,0,0,613,+ 123
491,Allen Lazard (NYJ),WR118,0,0,0,324,-167
492,Ko Kieft (TB),TE111,0,0,0,,
493,Hunter Long (LAR),TE112,0,0,0,617,+ 124
494,Javon Baker (NE),WR119,0,0,0,299,-195
495,Noah Brown (FA),WR120,0,0,0,376,-119
496,C.J. Uzomah (FA),TE113,0,0,0,576,+ 80
497,Josiah Deguara (FA),TE114,0,0,0,741,+ 244
498,K.J. Osborn (NE),WR121,0,0,0,311,-187
499,Anthony Firkser (FA),TE115,0,0,0,703,+ 204
500,Tutu Atwell (LAR),WR122,0,0,0,493,-7
501,Kenny Yeboah (NYJ),TE116,0,0,0,665,+ 164
502,Miller Forristall (LAR),TE117,0,0,0,916,+ 414
503,Trenton Irwin (CIN),WR123,0,0,0,414,-89
504,KhaDarel Hodge (ATL),WR124,0,0,0,714,+ 210
505,Mitchell Wilcox (FA),TE118,0,0,0,885,+ 380
506,Phillip Dorsett II (FA),WR125,0,0,0,695,+ 189
507,Brady Russell (SEA),TE119,0,0,0,835,+ 328
508,Julian Hill (MIA),TE120,0,0,0,426,-82
509,Tre' McKitty (FA),TE121,0,0,0,608,+ 99
510,Tommy Hudson (NO),TE122,0,0,0,894,+ 384
511,Tyler Davis (GB),TE123,0,0,0,742,+ 231
512,Shane Zylstra (FA),TE124,0,0,0,495,-17
513,Zack Kuntz (FA),TE125,0,0,0,828,+ 315
514,Eric Tomlinson (FA),TE126,0,0,0,438,-76
515,Dalton Keene (HOU),TE127,0,0,0,888,+ 373
516,Rodney Williams (FA),TE128,0,0,0,820,+ 304
517,Zach Gentry (LV),TE129,0,0,0,721,+ 204
518,Alex Erickson (FA),WR126,0,0,0,,
519,Chris Manhertz (NYG),TE130,0,0,0,696,+ 177
520,Nate Adkins (DEN),TE131,0,0,0,840,+ 320
521,Jake Bobo (SEA),WR127,0,0,0,322,-199
522,Justin Watson (KC),WR128,0,0,0,301,-221
523,Mack Hollins (BUF),WR129,0,0,0,516,-7
524,Quez Watkins (FA),WR130,0,0,0,579,+ 55
525,Rakim Jarrett (TB),WR131,0,0,0,687,+ 162
526,Isaiah Hodgins (FA),WR132,0,0,0,660,+ 134
527,David Bell (CLE),WR133,0,0,0,595,+ 68
528,Brandon Powell (MIN),WR134,0,0,0,384,-144
529,Tyquan Thornton (NE),WR135,0,0,0,558,+ 29
530,Jamison Crowder (WAS),WR136,0,0,0,694,+ 164
531,Bub Means (NO),WR137,0,0,0,961,+ 430
532,Kadarius Toney (FA),WR138,0,0,0,268,-264
533,Cornelius Johnson (LAC),WR139,0,0,0,,
534,Malik Washington (MIA),WR140,0,0,0,284,-250
535,Ryan Flournoy (DAL),WR141,0,0,0,533,-2
536,Jamari Thrash (CLE),WR142,0,0,0,688,+ 152
537,Ainias Smith (PHI),WR143,0,0,0,353,-184
538,Jacob Cowing (SF),WR144,0,0,0,601,+ 63
539,Mason Tipton (NO),WR145,0,0,0,,
540,Tahj Washington (MIA),WR146,0,0,0,960,+ 420
541,Donovan Peoples-Jones (FA),WR147,0,0,0,321,-220
542,Jordan Whittington (LAR),WR148,0,0,0,333,-209
543,Allen Robinson II (FA),WR149,0,0,0,510,-33
544,Marquez Valdes-Scantling (BUF),WR150,0,0,0,528,-16
545,Marcus Rosemy-Jacksaint (WAS),WR151,0,0,0,,
546,Brandon Johnson (FA),WR152,0,0,0,676,+ 130
547,Johnny Wilson (PHI),WR153,0,0,0,404,-143
548,Tejhaun Palmer (FA),WR154,0,0,0,,
549,Casey Washington (ATL),WR155,0,0,0,955,+ 406
550,Nikko Remigio (FA),WR156,0,0,0,836,+ 286
551,Russell Gage (FA),WR157,0,0,0,572,+ 21
552,John Metchie III (HOU),WR158,0,0,0,370,-182
553,Devaughn Vele (DEN),WR159,0,0,0,500,-53
554,KJ Hamler (FA),WR160,0,0,0,589,+ 35
555,Jalen Brooks (DAL),WR161,0,0,0,466,-89
556,Tyler Scott (CHI),WR162,0,0,0,362,-194
557,Ben Skowronek (FA),WR163,0,0,0,770,+ 213
558,Robert Woods (HOU),WR164,0,0,0,418,-140
559,Julio Jones (FA),WR165,0,0,0,378,-181
560,Trent Sherfield Sr. (MIN),WR166,0,0,0,652,+ 92
561,Isaiah McKenzie (NYG),WR167,0,0,0,638,+ 77
562,Justyn Ross (FA),WR168,0,0,0,497,-65
563,Brenden Rice (LAC),WR169,0,0,0,278,-285
564,Deven Thompkins (FA),WR170,0,0,0,818,+ 254
565,Skyy Moore (KC),WR171,0,0,0,317,-248
566,D.J. Montgomery (FA),WR172,0,0,0,363,-203
567,Derius Davis (LAC),WR173,0,0,0,460,-107
568,Mecole Hardman Jr. (KC),WR174,0,0,0,339,-229
569,David Moore (CAR),WR175,0,0,0,389,-180
570,Nick Westbrook-Ikhine (TEN),WR176,0,0,0,664,+ 94
571,Xavier Hutchinson (HOU),WR177,0,0,0,550,-21
572,Anthony Gould (IND),WR178,0,0,0,958,+ 386
573,Devin Duvernay (JAC),WR179,0,0,0,659,+ 86
574,Ihmir Smith-Marsette (CAR),WR180,0,0,0,772,+ 198
575,Robbie Chosen (FA),WR181,0,0,0,509,-66
576,Charlie Jones (CIN),WR182,0,0,0,471,-105
577,Lil'Jordan Humphrey (FA),WR183,0,0,0,511,-66
578,Chris Moore (ARI),WR184,0,0,0,698,+ 120
579,Parris Campbell (FA),WR185,0,0,0,392,-187
580,Chris Blair (FA),WR186,0,0,0,896,+ 316
581,Braxton Berrios (MIA),WR187,0,0,0,304,-277
582,Antoine Green (FA),WR188,0,0,0,824,+ 242
583,Jalen Guyton (LV),WR189,0,0,0,,
584,Ronnie Bell (SF),WR190,0,0,0,455,-129
585,Nsimba Webster (CHI),WR191,0,0,0,884,+ 299
586,Kayshon Boutte (NE),WR192,0,0,0,827,+ 241
587,Jason Brownlee (NYJ),WR193,0,0,0,834,+ 247
588,Zach Pascal (ARI),WR194,0,0,0,607,+ 19
589,Ashton Dulin (IND),WR195,0,0,0,,
590,Deonte Harty (BAL),WR196,0,0,0,629,+ 39
591,Jalen Reagor (NE),WR197,0,0,0,891,+ 300
592,Michael Woods II (FA),WR198,0,0,0,785,+ 193
593,Kyle Philips (FA),WR199,0,0,0,,
594,Bo Melton (GB),WR200,0,0,0,421,-173
595,Damiere Byrd (FA),WR201,0,0,0,,
596,Malik Heath (GB),WR202,0,0,0,525,-71
597,Chris Conley (SF),WR203,0,0,0,559,-38
598,Dee Eskridge (FA),WR204,0,0,0,666,+ 68
599,Laviska Shenault Jr. (SEA),WR205,0,0,0,744,+ 145
600,Tim Jones (JAC),WR206,0,0,0,760,+ 160
601,Equanimeous St. Brown (NO),WR207,0,0,0,338,-263
602,Danny Gray (SF),WR208,0,0,0,674,+ 72
603,River Cracraft (MIA),WR209,0,0,0,553,-50
604,Scotty Miller (PIT),WR210,0,0,0,731,+ 127
605,Sterling Shepard (FA),WR211,0,0,0,630,+ 25
606,Miles Boykin (NYG),WR212,0,0,0,719,+ 113
607,Tre'Quan Smith (DET),WR213,0,0,0,869,+ 262
608,Terrace Marshall Jr. (FA),WR214,0,0,0,764,+ 156
609,John Stephens Jr. (DAL),WR215,0,0,0,839,+ 230
610,Andre Baccellia (FA),WR216,0,0,0,,
611,Tylan Wallace (BAL),WR217,0,0,0,401,-210
612,Austin Mack (FA),WR218,0,0,0,890,+ 278
613,Josh Ali (FA),WR219,0,0,0,822,+ 209
614,Racey McMath (FA),WR220,0,0,0,906,+ 292
615,Dareke Young (SEA),WR221,0,0,0,597,-18
616,Dax Milne (LV),WR222,0,0,0,,
617,Easop Winston Jr. (FA),WR223,0,0,0,746,+ 129
618,Britain Covey (PHI),WR224,0,0,0,523,-95
619,Jha'Quan Jackson (TEN),WR225,0,0,0,489,-130
620,James Proche II (FA),WR226,0,0,0,521,-99
621,DJ Turner (LV),WR227,0,0,0,761,+ 140
622,Jaelon Darden (FA),WR228,0,0,0,911,+ 289
623,Kawaan Baker (FA),WR229,0,0,0,773,+ 150
624,Tyler Johnson (LAR),WR230,0,0,0,,
625,Byron Pringle (WAS),WR231,0,0,0,445,-180
626,Simi Fehoko (LAC),WR232,0,0,0,904,+ 278
627,Braylon Sanders (FA),WR233,0,0,0,816,+ 189
628,Anthony Schwartz (MIA),WR234,0,0,0,903,+ 275
629,DeAndre Carter (CHI),WR235,0,0,0,518,-111
630,Collin Johnson (FA),WR236,0,0,0,632,+ 2
631,Malik Taylor (NYJ),WR237,0,0,0,733,+ 102
632,Irvin Charles (NYJ),WR238,0,0,0,,
633,Stanley Morgan Jr. (NO),WR239,0,0,0,718,+ 85
634,Cody White (FA),WR240,0,0,0,887,+ 253
635,Montrell Washington (FA),WR241,0,0,0,786,+ 151
636,Lance McCutcheon (FA),WR242,0,0,0,,
637,Velus Jones Jr. (CHI),WR243,0,0,0,485,-152
638,Tom Kennedy (FA),WR244,0,0,0,517,-121
639,Daurice Fountain (FA),WR245,0,0,0,706,+ 67
640,Maurice Alexander (FA),WR246,0,0,0,620,-20
641,Cephus Johnson III (TB),WR247,0,0,0,943,+ 302
642,Erik Ezukanma (FA),WR248,0,0,0,793,+ 151
643,Trishton Jackson (MIN),WR249,0,0,0,548,-95
644,Seth Williams (FA),WR250,0,0,0,905,+ 261
645,Kristian Wilkerson (LV),WR251,0,0,0,756,+ 111
646,David Sills (FA),WR252,0,0,0,,
647,Tyrie Cleveland (FA),WR253,0,0,0,740,+ 93
648,Gunner Olszewski (NYG),WR254,0,0,0,526,-122
649,Mike Strachan (FA),WR255,0,0,0,898,+ 249
650,Jalen Camp (FA),WR256,0,0,0,907,+ 257
651,Jalen Virgil (FA),WR257,0,0,0,428,-223
652,Cam Sims (FA),WR258,0,0,0,872,+ 220
653,Mason Kinsey (FA),WR259,0,0,0,895,+ 242
654,Colton Dowell (TEN),WR260,0,0,0,923,+ 269
655,N'Keal Harry (FA),WR261,0,0,0,722,+ 67
656,Juwann Winfree (IND),WR262,0,0,0,877,+ 221
657,Dez Fitzpatrick (FA),WR263,0,0,0,591,-66
658,Marquez Callaway (FA),WR264,0,0,0,755,+ 97
659,Justin Fields (PIT),QB33,0,0,0,210,-449
660,Aidan O'Connell (LV),QB34,0,0,0,313,-347
661,Jacoby Brissett (NE),QB35,0,0,0,475,-186
662,Sam Howell (SEA),QB36,0,0,0,503,-159
663,Drew Lock (NYG),QB37,0,0,0,514,-149
664,Nick Mullens (MIN),QB38,0,0,0,704,+ 40
665,Jarrett Stidham (DEN),QB39,0,0,0,544,-121
666,Michael Penix Jr. (ATL),QB40,0,0,0,270,-396
667,Jake Browning (CIN),QB41,0,0,0,417,-250
668,Jameis Winston (CLE),QB42,0,0,0,575,-93
669,Josh Johnson (BAL),QB43,0,0,0,605,-64
670,Case Keenum (HOU),QB44,0,0,0,689,+ 19
671,Hendon Hooker (DET),QB45,0,0,0,345,-326
672,Sean Clifford (FA),QB46,0,0,0,496,-176
673,Mitchell Trubisky (BUF),QB47,0,0,0,504,-169
674,Jimmy Garoppolo (LAR),QB48,0,0,0,348,-326
675,Desmond Ridder (FA),QB49,0,0,0,783,+ 108
676,Carson Wentz (KC),QB50,0,0,0,334,-342
677,Tyson Bagent (CHI),QB51,0,0,0,397,-280
678,Joshua Dobbs (SF),QB52,0,0,0,331,-347
679,Cooper Rush (DAL),QB53,0,0,0,390,-289
680,Joe Flacco (IND),QB54,0,0,0,332,-348
681,Mac Jones (JAC),QB55,0,0,0,393,-288
682,Tyrod Taylor (NYJ),QB56,0,0,0,625,-57
683,Marcus Mariota (WAS),QB57,0,0,0,628,-55
684,Easton Stick (LAC),QB58,0,0,0,727,+ 43
685,Skylar Thompson (MIA),QB59,0,0,0,536,-149
686,Kenny Pickett (PHI),QB60,0,0,0,316,-370
687,Andy Dalton (CAR),QB61,0,0,0,474,-213
688,Mason Rudolph (TEN),QB62,0,0,0,568,-120
689,Kyle Trask (TB),QB63,0,0,0,774,+ 85
690,Spencer Rattler (NO),QB64,0,0,0,387,-303
691,Zach Wilson (DEN),QB65,0,0,0,344,-347
692,Tyler Huntley (CLE),QB66,0,0,0,736,+ 44
693,Mike White (FA),QB67,0,0,0,534,-159
694,Jaren Hall (MIN),QB68,0,0,0,411,-283
695,Bailey Zappe (FA),QB69,0,0,0,648,-47
696,Kyle Allen (PIT),QB70,0,0,0,456,-240
697,Malik Willis (GB),QB71,0,0,0,789,+ 92
698,Tommy DeVito (NYG),QB72,0,0,0,352,-346
699,Davis Mills (HOU),QB73,0,0,0,765,+ 66
700,C.J. Beathard (FA),QB74,0,0,0,700,-
701,Michael Pratt (FA),QB75,0,0,0,857,+ 156
702,Trey Lance (DAL),QB76,0,0,0,356,-346
703,Jordan Travis (NYJ),QB77,0,0,0,502,-201
704,Ryan Tannehill (FA),QB78,0,0,0,530,-174
705,Clayton Tune (ARI),QB79,0,0,0,830,+ 125
706,Taylor Heinicke (ATL),QB80,0,0,0,697,-9
707,Joe Milton III (NE),QB81,0,0,0,365,-342
708,Sam Hartman (FA),QB82,0,0,0,804,+ 96
709,Carter Bradley (LV),QB83,0,0,0,,
710,Stetson Bennett (LAR),QB84,0,0,0,486,-224
711,Sam Ehlinger (IND),QB85,0,0,0,766,+ 55
712,Tanner McKee (PHI),QB86,0,0,0,829,+ 117
713,Dorian Thompson-Robinson (CLE),QB87,0,0,0,680,-33
714,Devin Leary (BAL),QB88,0,0,0,956,+ 242
