RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Tier
357,Raheem Blackshear (CAR),RB132,0,0,0,555.0,+ 198,8
358,Roman Wilson (PIT),WR87,0,0,0,231.0,-127,8
359,Luke McCaffrey (WAS),WR88,0,0,0,253.0,-106,8
360,Myles Gaskin (FA),RB133,0,0,0,596.0,+ 236,8
361,Noah Gray (KC),TE44,0,0,0,291.0,-70,8
362,DeeJay Dallas (ARI),RB134,0,0,0,587.0,+ 225,8
363,Chris Brooks (FA),RB135,0,0,0,616.0,+ 253,8
364,La'Mical Perine (FA),RB136,0,0,0,749.0,+ 385,8
365,Michael Burton (FA),RB137,0,0,0,565.0,+ 200,8
366,Reggie Gilliam (BUF),RB138,0,0,0,663.0,+ 297,8
367,Kene Nwangwu (FA),RB139,0,0,0,472.0,+ 105,8
368,Avery Williams (ATL),RB140,0,0,0,899.0,+ 531,8
369,Darrynton Evans (BUF),RB141,0,0,0,627.0,+ 258,8
370,Travis Homer (CHI),RB142,0,0,0,543.0,+ 173,8
371,Greg Dortch (ARI),WR89,0,0,0,300.0,-71,8
372,Will Dissly (LAC),TE45,0,0,0,581.0,+ 209,8
373,Adam Prentice (NO),RB143,0,0,0,776.0,+ 403,8
374,Sione Vaki (DET),RB144,0,0,0,483.0,+ 109,8
375,Malik Davis (FA),RB145,0,0,0,552.0,+ 177,8
376,Keaontay Ingram (FA),RB146,0,0,0,379.0,+ 3,8
377,Tre Tucker (LV),WR90,0,0,0,318.0,-59,8
378,Keilan Robinson (JAC),RB147,0,0,0,859.0,+ 481,8
379,Jake Funk (FA),RB148,0,0,0,484.0,+ 105,8
380,Elijah Dotson (FA),RB149,0,0,0,851.0,+ 471,8
381,Snoop Conner (FA),RB150,0,0,0,560.0,+ 179,8
382,J.J. Taylor (FA),RB151,0,0,0,314.0,-68,8
383,Jermar Jefferson (FA),RB152,0,0,0,326.0,-57,8
384,Patrick Ricard (BAL),RB153,0,0,0,488.0,+ 104,8
385,Zonovan Knight (FA),RB154,0,0,0,,,8
386,Elijah Moore (CLE),WR91,0,0,0,327.0,-59,8
387,Hassan Haskins (FA),RB155,0,0,0,,,8
388,Zach Evans (LAR),RB156,0,0,0,602.0,+ 214,8
389,Spencer Brown (FA),RB157,0,0,0,758.0,+ 369,8
390,Khari Blasingame (FA),RB158,0,0,0,,,8
391,Patrick Taylor Jr. (SF),RB159,0,0,0,573.0,+ 182,8
392,John Kelly Jr. (BAL),RB160,0,0,0,867.0,+ 475,8
393,C.J. Ham (MIN),RB161,0,0,0,451.0,+ 58,8
394,Jashaun Corbin (FA),RB162,0,0,0,440.0,+ 46,8
395,Andrei Iosivas (CIN),WR92,0,0,0,329.0,-66,8
396,Malachi Corley (NYJ),WR93,0,0,0,279.0,-117,8
397,Mike Boone (FA),RB163,0,0,0,712.0,+ 315,8
398,Tyrion Davis-Price (PHI),RB164,0,0,0,637.0,+ 239,8
399,Brandon Bolden (FA),RB165,0,0,0,642.0,+ 243,8
400,Drake Maye (NE),QB31,0,0,0,237.0,-163,8
401,Robert Tonyan (FA),TE46,0,0,0,705.0,+ 304,8
402,Ray-Ray McCloud III (ATL),WR94,0,0,0,541.0,+ 139,8
403,Mo Alie-Cox (IND),TE47,0,0,0,366.0,-37,8
404,Dyami Brown (WAS),WR95,0,0,0,308.0,-96,8
405,Durham Smythe (MIA),TE48,0,0,0,320.0,-85,8
406,Jonathan Mingo (CAR),WR96,0,0,0,375.0,-31,8
407,Adam Trautman (DEN),TE49,0,0,0,406.0,-1,8
408,Jahan Dotson (PHI),WR97,0,0,0,223.0,-185,8
409,Tanner Hudson (CIN),TE50,0,0,0,442.0,+ 33,8
410,Austin Hooper (NE),TE51,0,0,0,432.0,+ 22,8
411,Donald Parham Jr. (FA),TE52,0,0,0,584.0,+ 173,8
412,Brock Wright (DET),TE53,0,0,0,343.0,-69,8
413,Jaheim Bell (NE),TE54,0,0,0,623.0,+ 210,8
414,Brevin Jordan (HOU),TE55,0,0,0,351.0,-63,8
415,Josh Oliver (MIN),TE56,0,0,0,359.0,-56,8
416,Elijah Higgins (ARI),TE57,0,0,0,371.0,-45,8
417,Jeremy Ruckert (NYJ),TE58,0,0,0,603.0,+ 186,8
418,Darnell Washington (PIT),TE59,0,0,0,328.0,-90,8
419,Olamide Zaccheaus (WAS),WR98,0,0,0,658.0,+ 239,8
420,Trey Palmer (TB),WR99,0,0,0,508.0,+ 88,8
421,Logan Thomas (SF),TE60,0,0,0,691.0,+ 270,8
422,Cedrick Wilson Jr. (NO),WR100,0,0,0,649.0,+ 227,8
423,Treylon Burks (TEN),WR101,0,0,0,481.0,+ 58,8
424,Luke Schoonmaker (DAL),TE61,0,0,0,355.0,-69,8
425,Stephen Sullivan (FA),TE62,0,0,0,,,8
426,Johnny Mundt (MIN),TE63,0,0,0,538.0,+ 112,8
427,Connor Heyward (PIT),TE64,0,0,0,342.0,-85,8
428,Foster Moreau (NO),TE65,0,0,0,655.0,+ 227,8
429,Josh Whyle (TEN),TE66,0,0,0,682.0,+ 253,8
430,Will Mallory (IND),TE67,0,0,0,506.0,+ 76,8
431,Parker Washington (JAC),WR102,0,0,0,557.0,+ 126,8
432,Devin Culp (TB),TE68,0,0,0,672.0,+ 240,8
433,Tanner McLachlan (CIN),TE69,0,0,0,856.0,+ 423,8
434,Pharaoh Brown (SEA),TE70,0,0,0,512.0,+ 78,8
435,Ian Thomas (CAR),TE71,0,0,0,708.0,+ 273,8
436,AJ Barner (SEA),TE72,0,0,0,529.0,+ 93,8
437,Gardner Minshew II (LV),QB32,0,0,0,256.0,-181,8
438,John FitzPatrick (FA),TE73,0,0,0,669.0,+ 231,8
439,Cameron Latu (SF),TE74,0,0,0,598.0,+ 159,8
440,Brayden Willis (SF),TE75,0,0,0,618.0,+ 178,8
441,Davis Allen (LAR),TE76,0,0,0,436.0,-5,8
442,Cedric Tillman (CLE),WR103,0,0,0,681.0,+ 239,8
443,Peyton Hendershot (KC),TE77,0,0,0,542.0,+ 99,8
444,JuJu Smith-Schuster (KC),WR104,0,0,0,307.0,-137,8
445,Travis Vokolek (ARI),TE78,0,0,0,832.0,+ 387,8
446,Alec Pierce (IND),WR105,0,0,0,380.0,-66,8
447,Troy Franklin (DEN),WR106,0,0,0,221.0,-226,8
448,Jordan Akins (CLE),TE79,0,0,0,580.0,+ 132,8
449,Calvin Austin III (PIT),WR107,0,0,0,459.0,+ 10,8
450,Tip Reiman (ARI),TE80,0,0,0,861.0,+ 411,8
451,Brenton Strange (JAC),TE81,0,0,0,599.0,+ 148,8
452,Jack Stoll (FA),TE82,0,0,0,668.0,+ 216,8
453,Cade Stover (HOU),TE83,0,0,0,335.0,-118,8
454,Erick All Jr. (CIN),TE84,0,0,0,957.0,+ 503,8
455,Kalif Raymond (DET),WR108,0,0,0,447.0,-8,8
456,Lucas Krull (DEN),TE85,0,0,0,590.0,+ 134,8
457,Devontez Walker (BAL),WR109,0,0,0,289.0,-168,8
458,Drew Ogletree (IND),TE86,0,0,0,609.0,+ 151,8
459,Stone Smartt (LAC),TE87,0,0,0,921.0,+ 462,8
460,Irv Smith Jr. (FA),TE88,0,0,0,434.0,-26,8
461,KaVontae Turpin (DAL),WR110,0,0,0,461.0,-,8
462,A.T. Perry (NO),WR111,0,0,0,325.0,-137,8
463,Jared Wiley (KC),TE89,0,0,0,383.0,-80,8
464,Nelson Agholor (BAL),WR112,0,0,0,468.0,+ 4,8
465,Drew Sample (CIN),TE90,0,0,0,482.0,+ 17,8
466,Jalen Nailor (MIN),WR113,0,0,0,498.0,+ 32,8
467,Teagan Quitoriano (FA),TE91,0,0,0,,,8
468,Payne Durham (TB),TE92,0,0,0,831.0,+ 363,8
469,Dallin Holker (NO),TE93,0,0,0,,,8
470,Van Jefferson (PIT),WR114,0,0,0,435.0,-35,8
471,Quintin Morris (BUF),TE94,0,0,0,775.0,+ 304,8
472,Zay Jones (ARI),WR115,0,0,0,330.0,-142,8
473,MyCole Pruitt (PIT),TE95,0,0,0,419.0,-54,8
474,James Mitchell (FA),TE96,0,0,0,624.0,+ 150,8
475,Ben Sims (GB),TE97,0,0,0,940.0,+ 465,8
476,Eric Saubert (SF),TE98,0,0,0,564.0,+ 88,8
477,Harrison Bryant (LV),TE99,0,0,0,661.0,+ 184,8
478,Armani Rogers (PHI),TE100,0,0,0,415.0,-63,8
479,Ross Dwelley (ATL),TE101,0,0,0,,,8
480,Grant Calcaterra (PHI),TE102,0,0,0,477.0,-3,8
481,Luke Farrell (JAC),TE103,0,0,0,767.0,+ 286,8
482,John Bates (WAS),TE104,0,0,0,667.0,+ 185,8
483,Nick Vannett (TEN),TE105,0,0,0,863.0,+ 380,8
484,Cole Turner (WAS),TE106,0,0,0,,,8
485,Jauan Jennings (SF),WR116,0,0,0,305.0,-180,8
486,Charlie Woerner (ATL),TE107,0,0,0,640.0,+ 154,8
487,Albert Okwuegbunam Jr. (PHI),TE108,0,0,0,473.0,-14,8
488,Cole Fotheringham (LV),TE109,0,0,0,917.0,+ 429,8
489,Charlie Kolar (BAL),TE110,0,0,0,639.0,+ 150,8
490,Xavier Gipson (NYJ),WR117,0,0,0,613.0,+ 123,8
491,Allen Lazard (NYJ),WR118,0,0,0,324.0,-167,8
492,Ko Kieft (TB),TE111,0,0,0,,,8
493,Hunter Long (LAR),TE112,0,0,0,617.0,+ 124,8
494,Javon Baker (NE),WR119,0,0,0,299.0,-195,8
495,Noah Brown (FA),WR120,0,0,0,376.0,-119,8
496,C.J. Uzomah (FA),TE113,0,0,0,576.0,+ 80,8
497,Josiah Deguara (FA),TE114,0,0,0,741.0,+ 244,8
498,K.J. Osborn (NE),WR121,0,0,0,311.0,-187,8
499,Anthony Firkser (FA),TE115,0,0,0,703.0,+ 204,8
500,Tutu Atwell (LAR),WR122,0,0,0,493.0,-7,8
501,Kenny Yeboah (NYJ),TE116,0,0,0,665.0,+ 164,8
502,Miller Forristall (LAR),TE117,0,0,0,916.0,+ 414,8
503,Trenton Irwin (CIN),WR123,0,0,0,414.0,-89,8
504,KhaDarel Hodge (ATL),WR124,0,0,0,714.0,+ 210,8
505,Mitchell Wilcox (FA),TE118,0,0,0,885.0,+ 380,8
506,Phillip Dorsett II (FA),WR125,0,0,0,695.0,+ 189,8
507,Brady Russell (SEA),TE119,0,0,0,835.0,+ 328,8
508,Julian Hill (MIA),TE120,0,0,0,426.0,-82,8
509,Tre' McKitty (FA),TE121,0,0,0,608.0,+ 99,8
510,Tommy Hudson (NO),TE122,0,0,0,894.0,+ 384,8
511,Tyler Davis (GB),TE123,0,0,0,742.0,+ 231,8
512,Shane Zylstra (FA),TE124,0,0,0,495.0,-17,8
513,Zack Kuntz (FA),TE125,0,0,0,828.0,+ 315,8
514,Eric Tomlinson (FA),TE126,0,0,0,438.0,-76,8
515,Dalton Keene (HOU),TE127,0,0,0,888.0,+ 373,8
516,Rodney Williams (FA),TE128,0,0,0,820.0,+ 304,8
517,Zach Gentry (LV),TE129,0,0,0,721.0,+ 204,8
518,Alex Erickson (FA),WR126,0,0,0,,,8
519,Chris Manhertz (NYG),TE130,0,0,0,696.0,+ 177,8
520,Nate Adkins (DEN),TE131,0,0,0,840.0,+ 320,8
521,Jake Bobo (SEA),WR127,0,0,0,322.0,-199,8
522,Justin Watson (KC),WR128,0,0,0,301.0,-221,8
523,Mack Hollins (BUF),WR129,0,0,0,516.0,-7,8
524,Quez Watkins (FA),WR130,0,0,0,579.0,+ 55,8
525,Rakim Jarrett (TB),WR131,0,0,0,687.0,+ 162,8
526,Isaiah Hodgins (FA),WR132,0,0,0,660.0,+ 134,8
527,David Bell (CLE),WR133,0,0,0,595.0,+ 68,8
528,Brandon Powell (MIN),WR134,0,0,0,384.0,-144,8
529,Tyquan Thornton (NE),WR135,0,0,0,558.0,+ 29,8
530,Jamison Crowder (WAS),WR136,0,0,0,694.0,+ 164,8
531,Bub Means (NO),WR137,0,0,0,961.0,+ 430,8
532,Kadarius Toney (FA),WR138,0,0,0,268.0,-264,8
533,Cornelius Johnson (LAC),WR139,0,0,0,,,8
534,Malik Washington (MIA),WR140,0,0,0,284.0,-250,8
535,Ryan Flournoy (DAL),WR141,0,0,0,533.0,-2,8
536,Jamari Thrash (CLE),WR142,0,0,0,688.0,+ 152,8
537,Ainias Smith (PHI),WR143,0,0,0,353.0,-184,8
538,Jacob Cowing (SF),WR144,0,0,0,601.0,+ 63,8
539,Mason Tipton (NO),WR145,0,0,0,,,8
540,Tahj Washington (MIA),WR146,0,0,0,960.0,+ 420,8
541,Donovan Peoples-Jones (FA),WR147,0,0,0,321.0,-220,8
542,Jordan Whittington (LAR),WR148,0,0,0,333.0,-209,8
543,Allen Robinson II (FA),WR149,0,0,0,510.0,-33,8
544,Marquez Valdes-Scantling (BUF),WR150,0,0,0,528.0,-16,8
545,Marcus Rosemy-Jacksaint (WAS),WR151,0,0,0,,,8
546,Brandon Johnson (FA),WR152,0,0,0,676.0,+ 130,8
547,Johnny Wilson (PHI),WR153,0,0,0,404.0,-143,8
548,Tejhaun Palmer (FA),WR154,0,0,0,,,8
549,Casey Washington (ATL),WR155,0,0,0,955.0,+ 406,8
550,Nikko Remigio (FA),WR156,0,0,0,836.0,+ 286,8
551,Russell Gage (FA),WR157,0,0,0,572.0,+ 21,8
552,John Metchie III (HOU),WR158,0,0,0,370.0,-182,8
553,Devaughn Vele (DEN),WR159,0,0,0,500.0,-53,8
554,KJ Hamler (FA),WR160,0,0,0,589.0,+ 35,8
555,Jalen Brooks (DAL),WR161,0,0,0,466.0,-89,8
556,Tyler Scott (CHI),WR162,0,0,0,362.0,-194,8
557,Ben Skowronek (FA),WR163,0,0,0,770.0,+ 213,8
558,Robert Woods (HOU),WR164,0,0,0,418.0,-140,8
559,Julio Jones (FA),WR165,0,0,0,378.0,-181,8
560,Trent Sherfield Sr. (MIN),WR166,0,0,0,652.0,+ 92,8
561,Isaiah McKenzie (NYG),WR167,0,0,0,638.0,+ 77,8
562,Justyn Ross (FA),WR168,0,0,0,497.0,-65,8
563,Brenden Rice (LAC),WR169,0,0,0,278.0,-285,8
564,Deven Thompkins (FA),WR170,0,0,0,818.0,+ 254,8
565,Skyy Moore (KC),WR171,0,0,0,317.0,-248,8
566,D.J. Montgomery (FA),WR172,0,0,0,363.0,-203,8
567,Derius Davis (LAC),WR173,0,0,0,460.0,-107,8
568,Mecole Hardman Jr. (KC),WR174,0,0,0,339.0,-229,8
569,David Moore (CAR),WR175,0,0,0,389.0,-180,8
570,Nick Westbrook-Ikhine (TEN),WR176,0,0,0,664.0,+ 94,8
571,Xavier Hutchinson (HOU),WR177,0,0,0,550.0,-21,8
572,Anthony Gould (IND),WR178,0,0,0,958.0,+ 386,8
573,Devin Duvernay (JAC),WR179,0,0,0,659.0,+ 86,8
574,Ihmir Smith-Marsette (CAR),WR180,0,0,0,772.0,+ 198,8
575,Robbie Chosen (FA),WR181,0,0,0,509.0,-66,8
576,Charlie Jones (CIN),WR182,0,0,0,471.0,-105,8
577,Lil'Jordan Humphrey (FA),WR183,0,0,0,511.0,-66,8
578,Chris Moore (ARI),WR184,0,0,0,698.0,+ 120,8
579,Parris Campbell (FA),WR185,0,0,0,392.0,-187,8
580,Chris Blair (FA),WR186,0,0,0,896.0,+ 316,8
581,Braxton Berrios (MIA),WR187,0,0,0,304.0,-277,8
582,Antoine Green (FA),WR188,0,0,0,824.0,+ 242,8
583,Jalen Guyton (LV),WR189,0,0,0,,,8
584,Ronnie Bell (SF),WR190,0,0,0,455.0,-129,8
585,Nsimba Webster (CHI),WR191,0,0,0,884.0,+ 299,8
586,Kayshon Boutte (NE),WR192,0,0,0,827.0,+ 241,8
587,Jason Brownlee (NYJ),WR193,0,0,0,834.0,+ 247,8
588,Zach Pascal (ARI),WR194,0,0,0,607.0,+ 19,8
589,Ashton Dulin (IND),WR195,0,0,0,,,8
590,Deonte Harty (BAL),WR196,0,0,0,629.0,+ 39,8
591,Jalen Reagor (NE),WR197,0,0,0,891.0,+ 300,8
592,Michael Woods II (FA),WR198,0,0,0,785.0,+ 193,8
593,Kyle Philips (FA),WR199,0,0,0,,,8
594,Bo Melton (GB),WR200,0,0,0,421.0,-173,8
595,Damiere Byrd (FA),WR201,0,0,0,,,8
596,Malik Heath (GB),WR202,0,0,0,525.0,-71,8
597,Chris Conley (SF),WR203,0,0,0,559.0,-38,8
598,Dee Eskridge (FA),WR204,0,0,0,666.0,+ 68,8
599,Laviska Shenault Jr. (SEA),WR205,0,0,0,744.0,+ 145,8
600,Tim Jones (JAC),WR206,0,0,0,760.0,+ 160,8
601,Equanimeous St. Brown (NO),WR207,0,0,0,338.0,-263,8
602,Danny Gray (SF),WR208,0,0,0,674.0,+ 72,8
603,River Cracraft (MIA),WR209,0,0,0,553.0,-50,8
604,Scotty Miller (PIT),WR210,0,0,0,731.0,+ 127,8
605,Sterling Shepard (FA),WR211,0,0,0,630.0,+ 25,8
606,Miles Boykin (NYG),WR212,0,0,0,719.0,+ 113,8
607,Tre'Quan Smith (DET),WR213,0,0,0,869.0,+ 262,8
608,Terrace Marshall Jr. (FA),WR214,0,0,0,764.0,+ 156,8
609,John Stephens Jr. (DAL),WR215,0,0,0,839.0,+ 230,8
610,Andre Baccellia (FA),WR216,0,0,0,,,8
611,Tylan Wallace (BAL),WR217,0,0,0,401.0,-210,8
612,Austin Mack (FA),WR218,0,0,0,890.0,+ 278,8
613,Josh Ali (FA),WR219,0,0,0,822.0,+ 209,8
614,Racey McMath (FA),WR220,0,0,0,906.0,+ 292,8
615,Dareke Young (SEA),WR221,0,0,0,597.0,-18,8
616,Dax Milne (LV),WR222,0,0,0,,,8
617,Easop Winston Jr. (FA),WR223,0,0,0,746.0,+ 129,8
618,Britain Covey (PHI),WR224,0,0,0,523.0,-95,8
619,Jha'Quan Jackson (TEN),WR225,0,0,0,489.0,-130,8
620,James Proche II (FA),WR226,0,0,0,521.0,-99,8
621,DJ Turner (LV),WR227,0,0,0,761.0,+ 140,8
622,Jaelon Darden (FA),WR228,0,0,0,911.0,+ 289,8
623,Kawaan Baker (FA),WR229,0,0,0,773.0,+ 150,8
624,Tyler Johnson (LAR),WR230,0,0,0,,,8
625,Byron Pringle (WAS),WR231,0,0,0,445.0,-180,8
626,Simi Fehoko (LAC),WR232,0,0,0,904.0,+ 278,8
627,Braylon Sanders (FA),WR233,0,0,0,816.0,+ 189,8
628,Anthony Schwartz (MIA),WR234,0,0,0,903.0,+ 275,8
629,DeAndre Carter (CHI),WR235,0,0,0,518.0,-111,8
630,Collin Johnson (FA),WR236,0,0,0,632.0,+ 2,8
631,Malik Taylor (NYJ),WR237,0,0,0,733.0,+ 102,8
632,Irvin Charles (NYJ),WR238,0,0,0,,,8
633,Stanley Morgan Jr. (NO),WR239,0,0,0,718.0,+ 85,8
634,Cody White (FA),WR240,0,0,0,887.0,+ 253,8
635,Montrell Washington (FA),WR241,0,0,0,786.0,+ 151,8
636,Lance McCutcheon (FA),WR242,0,0,0,,,8
637,Velus Jones Jr. (CHI),WR243,0,0,0,485.0,-152,8
638,Tom Kennedy (FA),WR244,0,0,0,517.0,-121,8
639,Daurice Fountain (FA),WR245,0,0,0,706.0,+ 67,8
640,Maurice Alexander (FA),WR246,0,0,0,620.0,-20,8
641,Cephus Johnson III (TB),WR247,0,0,0,943.0,+ 302,8
642,Erik Ezukanma (FA),WR248,0,0,0,793.0,+ 151,8
643,Trishton Jackson (MIN),WR249,0,0,0,548.0,-95,8
644,Seth Williams (FA),WR250,0,0,0,905.0,+ 261,8
645,Kristian Wilkerson (LV),WR251,0,0,0,756.0,+ 111,8
646,David Sills (FA),WR252,0,0,0,,,8
647,Tyrie Cleveland (FA),WR253,0,0,0,740.0,+ 93,8
648,Gunner Olszewski (NYG),WR254,0,0,0,526.0,-122,8
649,Mike Strachan (FA),WR255,0,0,0,898.0,+ 249,8
650,Jalen Camp (FA),WR256,0,0,0,907.0,+ 257,8
651,Jalen Virgil (FA),WR257,0,0,0,428.0,-223,8
652,Cam Sims (FA),WR258,0,0,0,872.0,+ 220,8
653,Mason Kinsey (FA),WR259,0,0,0,895.0,+ 242,8
654,Colton Dowell (TEN),WR260,0,0,0,923.0,+ 269,8
655,N'Keal Harry (FA),WR261,0,0,0,722.0,+ 67,8
656,Juwann Winfree (IND),WR262,0,0,0,877.0,+ 221,8
657,Dez Fitzpatrick (FA),WR263,0,0,0,591.0,-66,8
658,Marquez Callaway (FA),WR264,0,0,0,755.0,+ 97,8
659,Justin Fields (PIT),QB33,0,0,0,210.0,-449,8
660,Aidan O'Connell (LV),QB34,0,0,0,313.0,-347,8
661,Jacoby Brissett (NE),QB35,0,0,0,475.0,-186,8
662,Sam Howell (SEA),QB36,0,0,0,503.0,-159,8
663,Drew Lock (NYG),QB37,0,0,0,514.0,-149,8
664,Nick Mullens (MIN),QB38,0,0,0,704.0,+ 40,8
665,Jarrett Stidham (DEN),QB39,0,0,0,544.0,-121,8
666,Michael Penix Jr. (ATL),QB40,0,0,0,270.0,-396,8
667,Jake Browning (CIN),QB41,0,0,0,417.0,-250,8
668,Jameis Winston (CLE),QB42,0,0,0,575.0,-93,8
669,Josh Johnson (BAL),QB43,0,0,0,605.0,-64,8
670,Case Keenum (HOU),QB44,0,0,0,689.0,+ 19,8
671,Hendon Hooker (DET),QB45,0,0,0,345.0,-326,8
672,Sean Clifford (FA),QB46,0,0,0,496.0,-176,8
673,Mitchell Trubisky (BUF),QB47,0,0,0,504.0,-169,8
674,Jimmy Garoppolo (LAR),QB48,0,0,0,348.0,-326,8
675,Desmond Ridder (FA),QB49,0,0,0,783.0,+ 108,8
676,Carson Wentz (KC),QB50,0,0,0,334.0,-342,8
677,Tyson Bagent (CHI),QB51,0,0,0,397.0,-280,8
678,Joshua Dobbs (SF),QB52,0,0,0,331.0,-347,8
679,Cooper Rush (DAL),QB53,0,0,0,390.0,-289,8
680,Joe Flacco (IND),QB54,0,0,0,332.0,-348,8
681,Mac Jones (JAC),QB55,0,0,0,393.0,-288,8
682,Tyrod Taylor (NYJ),QB56,0,0,0,625.0,-57,8
683,Marcus Mariota (WAS),QB57,0,0,0,628.0,-55,8
684,Easton Stick (LAC),QB58,0,0,0,727.0,+ 43,8
685,Skylar Thompson (MIA),QB59,0,0,0,536.0,-149,8
686,Kenny Pickett (PHI),QB60,0,0,0,316.0,-370,8
687,Andy Dalton (CAR),QB61,0,0,0,474.0,-213,8
688,Mason Rudolph (TEN),QB62,0,0,0,568.0,-120,8
689,Kyle Trask (TB),QB63,0,0,0,774.0,+ 85,8
690,Spencer Rattler (NO),QB64,0,0,0,387.0,-303,8
691,Zach Wilson (DEN),QB65,0,0,0,344.0,-347,8
692,Tyler Huntley (CLE),QB66,0,0,0,736.0,+ 44,8
693,Mike White (FA),QB67,0,0,0,534.0,-159,8
694,Jaren Hall (MIN),QB68,0,0,0,411.0,-283,8
695,Bailey Zappe (FA),QB69,0,0,0,648.0,-47,8
696,Kyle Allen (PIT),QB70,0,0,0,456.0,-240,8
697,Malik Willis (GB),QB71,0,0,0,789.0,+ 92,8
698,Tommy DeVito (NYG),QB72,0,0,0,352.0,-346,8
699,Davis Mills (HOU),QB73,0,0,0,765.0,+ 66,8
700,C.J. Beathard (FA),QB74,0,0,0,700.0,-,8
701,Michael Pratt (FA),QB75,0,0,0,857.0,+ 156,8
702,Trey Lance (DAL),QB76,0,0,0,356.0,-346,8
703,Jordan Travis (NYJ),QB77,0,0,0,502.0,-201,8
704,Ryan Tannehill (FA),QB78,0,0,0,530.0,-174,8
705,Clayton Tune (ARI),QB79,0,0,0,830.0,+ 125,8
706,Taylor Heinicke (ATL),QB80,0,0,0,697.0,-9,8
707,Joe Milton III (NE),QB81,0,0,0,365.0,-342,8
708,Sam Hartman (FA),QB82,0,0,0,804.0,+ 96,8
709,Carter Bradley (LV),QB83,0,0,0,,,8
710,Stetson Bennett (LAR),QB84,0,0,0,486.0,-224,8
711,Sam Ehlinger (IND),QB85,0,0,0,766.0,+ 55,8
712,Tanner McKee (PHI),QB86,0,0,0,829.0,+ 117,8
713,Dorian Thompson-Robinson (CLE),QB87,0,0,0,680.0,-33,8
714,Devin Leary (BAL),QB88,0,0,0,956.0,+ 242,8
