RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Position,PositionTier
22,Travis Kelce (KC),TE1,178,106,72,21.0,-1,TE,5.0
27,Sam LaPorta (DET),TE2,160,97,63,30.0,+ 3,TE,5.0
35,Mark Andrews (BAL),TE3,128,81,47,47.0,+ 12,TE,5.0
37,Trey McBride (ARI),TE4,126,80,46,48.0,+ 11,TE,5.0
46,Dalton Kincaid (BUF),TE5,108,71,37,51.0,+ 5,TE,5.0
50,George Kittle (SF),TE6,96,65,31,55.0,+ 5,TE,5.0
54,Evan Engram (JAC),TE7,96,65,31,66.0,+ 12,TE,5.0
60,Kyle Pitts (ATL),TE8,88,61,27,63.0,+ 3,TE,5.0
70,Jake Ferguson (DAL),TE9,76,55,21,80.0,+ 10,TE,5.0
72,David Njoku (CLE),TE10,72,53,19,82.0,+ 10,TE,5.0
106,Dallas Goedert (PHI),TE11,34,34,0,108.0,+ 2,TE,5.0
107,Brock Bowers (LV),TE12,34,34,0,95.0,-12,TE,5.0
111,Dalton Schultz (HOU),TE13,21,21,0,121.0,+ 10,TE,5.0
124,Pat Freiermuth (PIT),TE14,14,14,0,132.0,+ 8,TE,5.0
135,T.J. Hockenson (MIN),TE15,10,10,0,122.0,-13,TE,
156,Tyler Conklin (NYJ),TE16,2,2,0,180.0,+ 24,TE,
166,Cole Kmet (CHI),TE17,0,0,0,135.0,-31,TE,
175,Hunter Henry (NE),TE18,0,0,0,198.0,+ 23,TE,
184,Cade Otton (TB),TE19,0,0,0,225.0,+ 41,TE,
207,Luke Musgrave (GB),TE20,0,0,0,169.0,-38,TE,
212,Chigoziem Okonkwo (TEN),TE21,0,0,0,204.0,-8,TE,
221,Taysom Hill (NO),TE22,0,0,0,195.0,-26,TE,
223,Noah Fant (SEA),TE23,0,0,0,239.0,+ 16,TE,
229,Juwan Johnson (NO),TE24,0,0,0,271.0,+ 42,TE,
248,Isaiah Likely (BAL),TE25,0,0,0,170.0,-78,TE,
252,Hayden Hurst (LAC),TE26,0,0,0,310.0,+ 58,TE,
254,Jonnu Smith (MIA),TE27,0,0,0,217.0,-37,TE,
262,Mike Gesicki (CIN),TE28,0,0,0,242.0,-20,TE,
270,Zach Ertz (WAS),TE29,0,0,0,194.0,-76,TE,
271,Ben Sinnott (WAS),TE30,0,0,0,213.0,-58,TE,
277,Greg Dulcich (DEN),TE31,0,0,0,252.0,-25,TE,
279,Tucker Kraft (GB),TE32,0,0,0,298.0,+ 19,TE,
288,Gerald Everett (CHI),TE33,0,0,0,410.0,+ 122,TE,
293,Dawson Knox (BUF),TE34,0,0,0,233.0,-60,TE,
296,Daniel Bellinger (NYG),TE35,0,0,0,341.0,+ 45,TE,
297,Tyler Higbee (LAR),TE36,0,0,0,283.0,-14,TE,
301,Theo Johnson (NYG),TE37,0,0,0,347.0,+ 46,TE,
302,Ja'Tavion Sanders (CAR),TE38,0,0,0,261.0,-41,TE,
306,Michael Mayer (LV),TE39,0,0,0,266.0,-40,TE,
317,Kylen Granson (IND),TE40,0,0,0,547.0,+ 230,TE,
323,Tommy Tremble (CAR),TE41,0,0,0,479.0,+ 156,TE,
324,Colby Parkinson (LAR),TE42,0,0,0,302.0,-22,TE,
334,Jelani Woods (IND),TE43,0,0,0,315.0,-19,TE,
361,Noah Gray (KC),TE44,0,0,0,291.0,-70,TE,
372,Will Dissly (LAC),TE45,0,0,0,581.0,+ 209,TE,
401,Robert Tonyan (FA),TE46,0,0,0,705.0,+ 304,TE,
403,Mo Alie-Cox (IND),TE47,0,0,0,366.0,-37,TE,
405,Durham Smythe (MIA),TE48,0,0,0,320.0,-85,TE,
407,Adam Trautman (DEN),TE49,0,0,0,406.0,-1,TE,
409,Tanner Hudson (CIN),TE50,0,0,0,442.0,+ 33,TE,
410,Austin Hooper (NE),TE51,0,0,0,432.0,+ 22,TE,
411,Donald Parham Jr. (FA),TE52,0,0,0,584.0,+ 173,TE,
412,Brock Wright (DET),TE53,0,0,0,343.0,-69,TE,
413,Jaheim Bell (NE),TE54,0,0,0,623.0,+ 210,TE,
414,Brevin Jordan (HOU),TE55,0,0,0,351.0,-63,TE,
415,Josh Oliver (MIN),TE56,0,0,0,359.0,-56,TE,
416,Elijah Higgins (ARI),TE57,0,0,0,371.0,-45,TE,
417,Jeremy Ruckert (NYJ),TE58,0,0,0,603.0,+ 186,TE,
418,Darnell Washington (PIT),TE59,0,0,0,328.0,-90,TE,
421,Logan Thomas (SF),TE60,0,0,0,691.0,+ 270,TE,
424,Luke Schoonmaker (DAL),TE61,0,0,0,355.0,-69,TE,
425,Stephen Sullivan (FA),TE62,0,0,0,,,TE,
426,Johnny Mundt (MIN),TE63,0,0,0,538.0,+ 112,TE,
427,Connor Heyward (PIT),TE64,0,0,0,342.0,-85,TE,
428,Foster Moreau (NO),TE65,0,0,0,655.0,+ 227,TE,
429,Josh Whyle (TEN),TE66,0,0,0,682.0,+ 253,TE,
430,Will Mallory (IND),TE67,0,0,0,506.0,+ 76,TE,
432,Devin Culp (TB),TE68,0,0,0,672.0,+ 240,TE,
433,Tanner McLachlan (CIN),TE69,0,0,0,856.0,+ 423,TE,
434,Pharaoh Brown (SEA),TE70,0,0,0,512.0,+ 78,TE,
435,Ian Thomas (CAR),TE71,0,0,0,708.0,+ 273,TE,
436,AJ Barner (SEA),TE72,0,0,0,529.0,+ 93,TE,
438,John FitzPatrick (FA),TE73,0,0,0,669.0,+ 231,TE,
439,Cameron Latu (SF),TE74,0,0,0,598.0,+ 159,TE,
440,Brayden Willis (SF),TE75,0,0,0,618.0,+ 178,TE,
441,Davis Allen (LAR),TE76,0,0,0,436.0,-5,TE,
443,Peyton Hendershot (KC),TE77,0,0,0,542.0,+ 99,TE,
445,Travis Vokolek (ARI),TE78,0,0,0,832.0,+ 387,TE,
448,Jordan Akins (CLE),TE79,0,0,0,580.0,+ 132,TE,
450,Tip Reiman (ARI),TE80,0,0,0,861.0,+ 411,TE,
451,Brenton Strange (JAC),TE81,0,0,0,599.0,+ 148,TE,
452,Jack Stoll (FA),TE82,0,0,0,668.0,+ 216,TE,
453,Cade Stover (HOU),TE83,0,0,0,335.0,-118,TE,
454,Erick All Jr. (CIN),TE84,0,0,0,957.0,+ 503,TE,
456,Lucas Krull (DEN),TE85,0,0,0,590.0,+ 134,TE,
458,Drew Ogletree (IND),TE86,0,0,0,609.0,+ 151,TE,
459,Stone Smartt (LAC),TE87,0,0,0,921.0,+ 462,TE,
460,Irv Smith Jr. (FA),TE88,0,0,0,434.0,-26,TE,
463,Jared Wiley (KC),TE89,0,0,0,383.0,-80,TE,
465,Drew Sample (CIN),TE90,0,0,0,482.0,+ 17,TE,
467,Teagan Quitoriano (FA),TE91,0,0,0,,,TE,
468,Payne Durham (TB),TE92,0,0,0,831.0,+ 363,TE,
469,Dallin Holker (NO),TE93,0,0,0,,,TE,
471,Quintin Morris (BUF),TE94,0,0,0,775.0,+ 304,TE,
473,MyCole Pruitt (PIT),TE95,0,0,0,419.0,-54,TE,
474,James Mitchell (FA),TE96,0,0,0,624.0,+ 150,TE,
475,Ben Sims (GB),TE97,0,0,0,940.0,+ 465,TE,
476,Eric Saubert (SF),TE98,0,0,0,564.0,+ 88,TE,
477,Harrison Bryant (LV),TE99,0,0,0,661.0,+ 184,TE,
478,Armani Rogers (PHI),TE100,0,0,0,415.0,-63,TE,
479,Ross Dwelley (ATL),TE101,0,0,0,,,TE,
480,Grant Calcaterra (PHI),TE102,0,0,0,477.0,-3,TE,
481,Luke Farrell (JAC),TE103,0,0,0,767.0,+ 286,TE,
482,John Bates (WAS),TE104,0,0,0,667.0,+ 185,TE,
483,Nick Vannett (TEN),TE105,0,0,0,863.0,+ 380,TE,
484,Cole Turner (WAS),TE106,0,0,0,,,TE,
486,Charlie Woerner (ATL),TE107,0,0,0,640.0,+ 154,TE,
487,Albert Okwuegbunam Jr. (PHI),TE108,0,0,0,473.0,-14,TE,
488,Cole Fotheringham (LV),TE109,0,0,0,917.0,+ 429,TE,
489,Charlie Kolar (BAL),TE110,0,0,0,639.0,+ 150,TE,
492,Ko Kieft (TB),TE111,0,0,0,,,TE,
493,Hunter Long (LAR),TE112,0,0,0,617.0,+ 124,TE,
496,C.J. Uzomah (FA),TE113,0,0,0,576.0,+ 80,TE,
497,Josiah Deguara (FA),TE114,0,0,0,741.0,+ 244,TE,
499,Anthony Firkser (FA),TE115,0,0,0,703.0,+ 204,TE,
501,Kenny Yeboah (NYJ),TE116,0,0,0,665.0,+ 164,TE,
502,Miller Forristall (LAR),TE117,0,0,0,916.0,+ 414,TE,
505,Mitchell Wilcox (FA),TE118,0,0,0,885.0,+ 380,TE,
507,Brady Russell (SEA),TE119,0,0,0,835.0,+ 328,TE,
508,Julian Hill (MIA),TE120,0,0,0,426.0,-82,TE,
509,Tre' McKitty (FA),TE121,0,0,0,608.0,+ 99,TE,
510,Tommy Hudson (NO),TE122,0,0,0,894.0,+ 384,TE,
511,Tyler Davis (GB),TE123,0,0,0,742.0,+ 231,TE,
512,Shane Zylstra (FA),TE124,0,0,0,495.0,-17,TE,
513,Zack Kuntz (FA),TE125,0,0,0,828.0,+ 315,TE,
514,Eric Tomlinson (FA),TE126,0,0,0,438.0,-76,TE,
515,Dalton Keene (HOU),TE127,0,0,0,888.0,+ 373,TE,
516,Rodney Williams (FA),TE128,0,0,0,820.0,+ 304,TE,
517,Zach Gentry (LV),TE129,0,0,0,721.0,+ 204,TE,
519,Chris Manhertz (NYG),TE130,0,0,0,696.0,+ 177,TE,
520,Nate Adkins (DEN),TE131,0,0,0,840.0,+ 320,TE,
